Title,Context
High-Flying Toronto Condo Market May Be About to Hit Turbulence,"The chill that has crept over some segments of the Toronto housing market may soon extend to one of its persistent hot spots: condominiums.Evidence of a slowdown is emerging as new rules make it tougher to get a mortgage and borrowing costs rise for the first time in almost a decade. That¡¯s reducing the appeal of Toronto condos, whose average price now exceeds C$560,000 ($420,000). Projects are taking longer to sell and, in some areas, developers are using incentives to move units.¡°There are cash incentives being offered, discount parking being offered,¡± Robert Gidwani, a broker at REsource Realty, said by phone from Toronto. ¡°We¡¯ve seen a bit more incentives especially in the resale market, we are seeing fewer multiple offers coming in.¡±Christopher Bibby, a broker at RE/MAX Hallmark Bibby Group Realty, said demand is still ¡°extremely active¡± for condos with ¡°wow factor,¡± such as a one-bedroom unit near Bloor St. with unobstructed views of the water that sold for the list price of C$629,900 in less than 48 hours.But more generic inventory is taking longer to sell. ¡°You¡¯re not seeing the same pace of growth or aggressiveness on the buyer side,¡± he said.The question is whether condos will join the slump in the single-family home segment, signaling a broader correction in the Canadian housing market, a risk policymakers have flagged for several years but which has so far failed to materialize. Condos accounted for 30 percent of total Toronto sales in May.Condo benchmark price gain slips in past year Source: Toronto Real Estate Board Prices for each month are on a yearly basisSome developers are starting to give buyers longer than the usual six months to come up with a down payment, which usually ranges from 15 to 25 percent. ¡°That really increases the affordability level for people who are saving and paying as they go,¡± said Gidwani.Shaun Hildebrand at condo data provider Urbanation Inc. said high prices and buyer fatigue, particularly from investors, are coming into play. ¡°Relative to last year when new projects would sell out almost immediately after launching, absorptions have moderated to more historically normal levels this year,¡± he said.Read More: Sticker Shock Hits New Yorker Hunting for Toronto ApartmentUnlike prices for detached homes, which are down almost 10 percent from the peak last year, condo prices have continued to climb, reaching a record in May. But the pace of appreciation has slowed. On a year-over-year basis, the 8.3 percent increase in May¡¯s benchmark condo price was the smallest in almost two years while sales fell 16 percent from the same month the year before.Models of Frank Gehry¡¯s project in Toronto.At the same time, supply is rising. The federal housing agency said work began on 7,691 units in the first quarter, the most since at least 1990. Urbanation predicts starts could hit records for the next two or three years, as high-profile developments come on line such as the development designed by Frank Gehry which will include the country¡¯s tallest residential tower at 92 stories.It¡¯s a trend that could make condos less appealing to investors. ¡°With the increase in completions that we¡¯re expecting and the slowdown in price appreciation, it may not be as attractive to hold over the longer term,¡± Hildebrand said in a telephone interview. ¡°In that regard, you can start to see investors selling.¡±At the same time, carrying costs -- mortgage payments, property taxes and maintenance fees -- increasingly exceed rental income. That negative monthly cash flow reached C$424 on average for resale condos in the first quarter of 2017, according to an April report by brokerage Realosophy, citing Urbanation data. Many investors buy pre-construction, wait five years for the project to get built and rents to appreciate to get positive cash flow.Many investors will accept negative cash flow as long as they see price gains on the underlying asset. However sustaining the recent pace of price gains over the longer term may be difficult, the Bank of Canada said in a report this month. ¡°If expectations reverse and prices recede, speculators may quickly sell their assets, which could lead to large, rapid price declines.¡±¡°When you look at it as an investor, the economics are not there to buy and hold a condo based on cash flow,¡± Robert Kavcic, senior economist at Bank of Montreal, said by phone from Toronto. ¡°Now you absolutely do need price gains to make the economics work.¡±Prices are unlikely to drop anytime soon, said Hildebrand at Urbanation, citing the low inventory of unsold units so far. However, ¡°investors should be expecting a lower rate of return than they have in the past.¡±Builders may begin scaling back plans in the face of a slowdown. ¡°Developers are being careful in introducing new projects as construction costs have been rising quickly, land is scarce and expensive, development charges are doubling, and there is heightened uncertainty regarding approvals under the new planning regime,¡± he said. ¡°That will help keep inventory levels in check and price levels steady.¡±Still, any weakness in condos would affect the larger housing market, which has seen a sales drop in the past few months and flat price gains on an annualized basis, the Teranet¨CNational Bank House Price Index shows.Eric Lascelles at RBC Global Asset Management, Canada¡¯s biggest asset manager, says anecdotal evidence of slowing demand for condos is one reason he¡¯s less optimistic about the housing market, which he says is in the middle of a ¡°sea change.¡±Lascelles, who helps manage $330 billion, sees a 30 percent chance of a ¡°serious correction,¡± where prices nationally fall by a fifth, and more in the hottest markets. His base case, to which he assigns a 50 percent chance, is that the market just goes sideways. ¡°We¡¯re seeing an inflection here and we need to figure out if this is just a blip or something bigger,¡± he said.¡ª With assistance by Erik Hertzberg"
"U.S., Canada, Mexico Unite Long Enough to Win 2026 World Cup Bid","The World Cup is coming back to America.Nations at the 68th FIFA Congress in Moscow backed North America¡¯s joint bid to host the 2026 World Cup. With a handful of games in Mexico and Canada but the majority in the U.S., the 2026 bid promises the richest and most lucrative tournament in the history of global soccer.FIFA president Gianni Infantino on June 13.The expanded 2026 men¡¯s event, featuring 48 teams for the first time, will be played in 16 different cities -- 10 in the U.S., plus three sites in both Canada and Mexico. The U.S. will host 60 of the 80 matches, including the final, scheduled for MetLife Stadium outside New York City.¡°It¡¯s a bit emotional for us today,¡± Carlos Cordeiro, president of U.S. Soccer, said after the vote. ¡°The beautiful game transcends borders and cultures. Football today is the only victor, and in that spirit, we wish our Russian hosts and all the teams participating here this month, the very best of luck.¡±The winning bid got 134 votes, compared to 65 for Morocco. There was one abstention.Read more: A QuickTake on the World Cup¡¯s Corruption ScandalsWednesday¡¯s vote, held in Moscow on the eve of this year¡¯s tournament, was about much more than just the 2026 host nation. Many in the international community viewed this decision as a reflection of how far FIFA has come after years of scandal and widespread corruption, some of which was tied to the 2018 and 2022 World Cup bidding processes.When Gianni Infantino replaced embattled Joseph ¡°Sepp¡± Blatter as president of soccer¡¯s governing body in 2016, he acknowledged that the organization was ¡°in a crisis¡± and promised reforms.The 2026 award is also a victory for many of FIFA¡¯s corporate partners, which will have the advantage of more teams and the world¡¯s biggest media market. That includes Adidas AG, Dalian Wanda Group, and Coca-Cola Co., as well as NBCUniversal¡¯s Telemundo and 21st Century Fox Inc., which have already secured the U.S. Spanish- and English-language broadcasts.On paper, it was hard to make the case for Morocco. Canada, Mexico and the U.S. are home to a combined 491 million people and two of the world¡¯s biggest media markets. All of the proposed stadiums exist already. And perhaps most persuasive, the North American bid promised FIFA a record $11 billion in profit, nearly double the $6.6 billion that governing body expects to earn in the 2022 event in Qatar and more than double the $5 billion estimated by Morocco.But these votes are often about much more than stadiums, infrastructure and even profit.Every one of FIFA¡¯s 200-plus members holds a single vote, and regions tend to vote in blocks. That means the 31-member Caribbean federation has three times the voting power of South America, which includes soccer powers Brazil and Argentina.Large votes are often swayed by small concessions promised to the right number of smaller nations or by regional biases. Morocco¡¯s bid, for example, received vocal support from France and a large contingent of Middle Eastern and North African nations. In a tweet in April, President Donald Trump questioned why the U.S. should ¡°be supporting these countries when they don¡¯t support us (including at the United Nations)?¡±Eight years ago, the U.S. was in a similar position, when it bid for the 2022 tournament. Competing against South Korea, Japan, Australia and Qatar, the U.S. seemed like the obvious choice given its existing stadiums and geo-political standing. Former president Bill Clinton and other celebrities spent nearly two years campaigning and the U.S. still lost to Qatar.The event has since been moved to November to avoid Qatar¡¯s blistering summer temperatures, bribery accusations abound, and potential human rights violations at the stadium sites have caused outrage from the international community.The money promised by the North American bid will be a strong boost to FIFA. The Switzerland-based organization reports its revenue in four-year cycles, and most recently claimed $5.7 billion for the cycle culminating in the 2014 World Cup in Brazil.The tumultuous last four years, plus the controversy over Russia, has made the 2015-18 cycle a ¡°tougher sell,¡± according to Nielsen, and the next four years leading up to the Qatar event might be equally rough. Citing a number of high-profile sponsors dropping FIFA, London newspaper The Independent reported that FIFA¡¯s 2018 World Cup sponsorship revenues were down $240 million.On Wednesday Trump tweeted his congratulations, saying the winning bid was the result of ¡°a great deal of hard work.¡±The U.S. last hosted the World Cup in 1994, an event that eventually gave rise to Major League Soccer, now in its 23rd season. The 3.6 million attendees remain a World Cup record, despite the fact that only 24 nations competed at the time. Mexico hosted the World Cup in 1986; Canada never has.¡°The fact that Mexico, Canada and the U.S. can come together and organize the world¡¯s biggest sporting event is a nice message,¡± FIFA head Infantino said at a press conference. ¡°And that¡¯s something we have to be happy for.¡±Typically, the host nation gets an automatic berth in the World Cup but Infantino said the regional soccer federation, Concacaf, must whether to use its slots for all three squads. The region has 7 slots, 6 automatic and then two ¡°halfs¡± that allow teams to qualify through a playoff.Mexico has played in every World Cup since 1990. Canada qualified once, in 1986. The U.S. team failed to qualify this year.¡ª With assistance by Ira Boudway, and Jake Rudnitsky"
"Five Fed Mysteries, Korean Chasm, Argentina Sits at 40%: Eco Day","Welcome to Wednesday, Asia. Here¡¯s news from Bloomberg Economics to help get your day started:"
"Sliding Emerging Markets Bear Brunt of Angst Over Trade, OPEC","Emerging markets were getting little relief as the escalating trade war between the U.S. and China hurt most major currencies and sent stocks to their lowest level since December.An index of currencies was set for a fifth day of losses on Monday, led by the South Korean won and Russia¡¯s ruble, leaving it on track for the biggest quarterly decline since September 2015. Yield spreads on emerging-market sovereign bonds widened four basis points relative to U.S. Treasuries, a JPMorgan Chase & Co. index showed.Equities extended their worst weekly performance in a month, with the MSCI index of emerging-market stocks retreating for a fourth day. Outflows from U.S.-listed emerging market exchange-traded funds totaled $2.7 billion in the week ended June 15, according to data compiled by Bloomberg. It was the biggest weekly outflow in over a year.With OPEC clashing over output, Turkish elections looming and the likelihood of fallout from Argentina¡¯s foreign-exchange crisis continuing, the prospect of a protracted trade war between the world¡¯s two biggest economies merely served to cast a longer pall over emerging markets. After the U.S. announced tariffs on $50 billion of Chinese imports last week, the Asian nation struck back with its own plan for levies on American exports. Chinese markets were closed Monday for a holiday.Trade wars ¡°have the potential to disrupt an otherwise positive economic outlook, if they were to trigger broad-based retaliatory actions,¡± said Silvia Dall¡¯Angelo, a London-based senior economist at Hermes Investment Management. ¡°The uncertainty concerning trade policies has the potential to negatively affect confidence, in turn holding back investment decisions.¡±What you Need to Know About Emerging Markets This Week: AudioHere¡¯s a roundup of the events on traders¡¯ radar as the week begins:On Wednesday, MSCI Inc. could stamp its approval on Saudi Arabia and Argentina as members of its emerging-market index. The former is more likely.Finance ministers and central bank presidents from Brazil, Argentina, Uruguay and Paraguay will convene Sunday at the Mercosur summit. The meeting concludes Monday with a sit-down among heads of state. The bloc will discuss strategies for trade talks with the EU.Colombian markets open after the country on Sunday elected Ivan Duque, a market-friendly U.S.-educated lawyer, by a large margin over Gustavo Petro, a former leftist guerrilla and mayor. It was the first presidential election since the signing of a historic peace accord with Marxist rebels.Meanwhile, Frans Timmermans, principal vice president of the European Commission, will kick off the week by visiting Poland amid concern about court independence. The zloty has fallen about 8 percent this quarter.Traders will monitor monetary policy decisions from the central banks of Thailand, Taiwan, Brazil, Hungary and the Philippines this week. Bangko Sentral ng Pilipinas is set to decide on Wednesday whether to proceed with a second increase in the benchmark interest rate after inflation reached a five-year high after last month¡¯s move. The Philippine peso is the worst-performing Asian currency this year, with losses of more than 6 percent against the dollar.Trading will resume in Indonesia on Wednesday after a seven-day holiday. Investors will be processing a slew of events, from the Fed¡¯s much-anticipated rate hike to dovish guidance from the ECB. The rupiah is the best performer in the region this quarter after the nation¡¯s central bank hiked its policy rate twice in two weeks to stabilize markets.¡ª With assistance by Robert Brand"
"BlackRock, Wells Fargo Are Betting on Ethical Investing Funds for 401(k)s","Doing good and saving for retirement may soon get easier.BlackRock Inc. and Wells Fargo & Co. are developing their first-ever ESG funds for retirement savings plans, seeking to tap into growing demand for ethical investing. Both firms plan to create a series of target-date funds with this focus, according to people familiar with the matter, with BlackRock aiming to debut some later this year.The asset managers are betting that a surge in interest in environmental, social or governance investing will carry through to 401(k)s, where there are few such options. While assets under management in ESG funds tracked by Bloomberg rose 37 percent in 2017 to more than $445 billion, less than 10 percent of 401(k) plans now offer such choices, according to Edward Farrington, executive vice president for retirement strategies at Natixis Investment Managers.The move is aimed at spurring reluctant millennials to invest more for retirement. There¡¯s evidence that a younger generation of investors want such options and have yet to create a nest egg for the future. About two-thirds of millennials have saved nothing for retirement, according to a National Institute on Retirement Security report in February.Farrell Denby, a BlackRock spokesman, declined to comment on specific plans. Under Chief Executive Officer Larry Fink, the New York-based firm has said companies should align their interests with societal needs. BlackRock engages with about 1,600 companies each year on a range of ESG issues and incorporates them into the company¡¯s investment analysis.¡°As a fiduciary to our clients, BlackRock has a responsibility to protect and enhance the value of the assets they have entrusted to us,¡± Denby said in an emailed statement. ¡°We believe sustainability-related issues can play an important role in driving long term company strategy and economic performance, and thus carefully incorporating these considerations into the investment research and portfolio construction process can enhance long-term risk-adjusted returns.¡±A Wells Fargo spokesman, Robert Julavits, declined to comment. Its asset management unit oversees about $500 billion in assets.Retirement accounts hold the bulk of rising target-date fund assetsSource: Investment Company Institute*Includes 403(b)s, 457s, other private defined contribution plansTarget-date funds, which offer a mix of investments and automatically rebalance as workers age, have become popular choices for investors. The category saw net inflows of $68 billion in 2017 and ended the year with $1.1 trillion in assets, according to data compiled by the Investment Company Institute. Over the past 10 years, net inflows have totaled $521 billion.But fund managers expect it could take years to get ESG funds added to typically conservative retirement plans.ESG funds are keeping pace with the broader market. Year to date, the iShares MSCI KLD 400 Social ETF (ticker: DSI) and the iShares MSCI USA ESG Select ETF (ticker: SUSA), among the biggest exchange-traded funds in the category, have gained 6.1 percent and 4.6 percent, respectively, on a total return basis. The iShares Core S&P 500 ETF (ticker: IVV) is up 5 percent.BlackRock, the world¡¯s largest asset manager, and Wells Fargo see ESG as a growth engine for retirement assets even as the U.S. Labor Department has urged retirement plan sponsors to use caution in this area. In April, the department issued guidance to sponsors saying ESG investments may not always be ¡°prudent.¡± Under the Obama administration, the Labor Department tried to remove perceived barriers to socially responsible investing by retirement funds.The guidance could cause plan sponsors to think twice before implementing ESG strategies, according to Alex Bernhardt, U.S. head of responsible investment at consulting firm Mercer. Last month the U.S. Government Accountability Office also asked the Labor Department to clarify its latest guidance.But firms like Natixis, the Boston-based unit of the French bank, are moving ahead with young investors in mind. The firm started the first suite of ESG target-date funds specifically for U.S. retirement savers last year after a survey of millennials found that 71 percent would put more money in retirement plans if they thought the investments were doing social good."
"Mexicans Hold Off From Buying New Cars On Election, Nafta Fears","Uncertainty over the future of Nafta and the upcoming presidential elections is discouraging Mexicans from buying new cars.Sales of cars and light trucks fell 7 percent in May, marking 12 straight months of drops, according to a trade group of the nation¡¯s auto dealers known as AMIA.The decline comes a mere three weeks before Mexico votes for its next president. Traders are concerned that Andres Manuel Lopez Obrador, a leftist candidate who holds a 26 percentage point lead over his nearest rival, could upend the economy at the same time that Nafta negotiations with the U.S. are at an impasse. Doubts about the future of the trade deal increased after President Donald Trump clashed with Canadian Prime Minister Justin Trudeau last week.Car sales in Mexico have fallen for 12 straight monthsSource: Mexico auto chamber AMIAAll the uncertainty in economic, political and social matters ¡°is being reflected in consumers¡¯ disposition to acquire durable goods in the short term,"" said Guillermo Rosales, a top official at AMIA in a press conference Tuesday.One reassuring thought: Automakers in Mexico mainly depend on the country as a manufacturing platform to supply foreign markets, such as the U.S. In May, Mexico¡¯s production grew 3.9 percent year over year."
"U.S. CFO Optimism Remains Close to All-Time High, Survey Shows","Optimism among chief financial officers in the U.S. held near an all-time high in the second quarter, while the hiring and retaining of workers in a tight labor market remained a top concern.An index of CFO sentiment was little changed at 71.1 after a first-quarter reading of 71.2 that was the highest since the survey began in 1996, according to a report Wednesday from Duke University¡¯s Fuqua School of Business and CFO Magazine. The survey of 228 companies was conducted from May 22 to June 8.Companies expect wages and salaries to increase 4.1 percent on average over the next 12 months, up from a 3.9 percent average in the previous survey. Low unemployment is putting pressure on U.S. firms, as 41 percent of CFOs said attracting and retaining qualified employees was among their main concerns -- the biggest share of any choice. Government policies came in second at 31 percent, little changed from the prior survey.Company officers¡¯ expectations for average growth in capital spending fell 2.7 points from the previous quarter to 8.3 percent. Concerns about data security also remained high: Almost a fifth of the U.S. CFOs said their computer systems have been hacked. In response, 71 percent have installed new software or procedures to further protect their businesses, according to the Duke survey.¡°Ten years ago, cybersecurity was not a C-suite responsibility. Now it is,¡± Duke professor Cam Harvey, a founding director of the survey, said in a statement. ¡°To fight this battle costs money, which falls right off the bottom line.¡±"
Rush Into Hot CLO Market Leaves Latecomers Fighting for Scraps,"The feeding frenzy sparked by the need for protection against rising interest rates is forcing a flood of firms in the U.S. market for bundled corporate loans to fight over scraps.Demand is so strong in Wall Street¡¯s hottest debt market that the number of managers doing business there jumped by about 20 percent last year and continues to increase. And while the market itself may be on pace for record sales this year, the throng clamoring for collateralized loan obligations is rising faster, enticing issuers to weaken terms to an extent that some say doesn¡¯t compensate investors enough for the risk. But so far, there¡¯s plenty of takers.¡°One of the risks is market exuberance with everyone chasing the same collateral,¡± said Peter Sallerson, a senior director at Moody¡¯s Analytics Inc. ¡°Credit terms are getting weaker than some think they should be.¡±Spreads retracted for each type of CLO issuance amid intense investor appetite Source: Fitch RatingsWith underwriting standards eroding amid the brisk demand, managers have been forced to reach for smaller and less liquid loans to get higher spreads, according to Maggie Wang, head of U.S. CLO research at Citigroup Inc.¡°Everyone wants to get the best loans, and there¡¯s only so much of them,¡± Wang said.One example is the changing loan covenants, which are agreements between the issuers and borrowers that permit or restrict certain activities. This risk can get passed on to investors.¡°In a nut shell, deals are coming with lower coupons and less structural and document protections than we would like to see,¡± said Gretchen Lam, a portfolio manager at Octagon Credit Investors LLC. ¡°That is something we continue to be challenged with as a buy-side community.¡±New CLO deals may be on pace to reach an all-time high of $150 billion this year, according to Wells Fargo & Co. New issuance increased 65 percent in 2017 from a year earlier, while refinancings and resets, which renew the coupon and the terms on an issue, reached $166 billion last year, data compiled by Bloomberg show.A recent rule change has boosted supply. An appeals court ruled in February that firms no longer need to keep a percentage of the securities they sell, setting free a wave of assets into the market. As a result, more managers entered the market because the end of risk retention made it cheaper and easier to put together CLOs.While the volume of deals has increased, so has the number of managers. Sixteen firms, 12 of whom are new, entered the sector, raising the total to 99 at the end of last year, Wells Fargo said. Four have made debuts so far this year: CarVal Investors, Kayne Anderson Capital Advisors, Partners Group and Post Advisory Group.The number of new managers entering the CLO market is on the riseSource: Wells Fargo SecuritiesBut calling these CLO managers ¡°new¡± might be a stretch. Some of the firms have deep roots in the credit market and others have poached industry veterans to lead new departments. The market is also seeing former players reemerge. For instance, PPM America came back to the market on Friday for the first time since 2007.¡°Toward the later innings of a cycle, this is not surprising that you see this given the supply and demand dynamics,¡± Chris Mawn, head of CarVal¡¯s corporate loan business who was hired last year from CLO firm Highland Capital, said in reference to the looser underwriting standards. ¡°You just have to be all the more diligent in picking your spots and where you want to take risk.¡±But few in the market are panicking. Many managers have baked in more protections in CLOs than during the financial crisis, when they performed well. The credit quality of issuers whose loans are in CLOs remained relatively stable during the first quarter, though defaults increased, according to S&P Global Ratings. The default rate for junk-rated corporate debt rose to 3.3 percent in March from 3.1 percent at the end of last year, the firm said in a note.Even still, the economy and credit market will shift at some point -- a majority of analysts polled by Bloomberg see a slowdown over the next two years -- and CLO investors may now be more exposed than in the past.¡°This is a natural progression through a credit cycle where spreads are so tight and so focused on floating rate assets,¡± Berkin Kologlu, a portfolio manager at Angel Oak Capital Advisors, said. ¡°There¡¯s not a whole lot you can do in fixed income.¡±¡ª With assistance by Adam Tempkin"
U.S. Index Futures Tumble as U.S. Pledges Action Against Tariffs,"U.S. stock index futures dropped along with European and Asian stocks amid deepening concerns over the impact of potential global trade restrictions as the U.S. vowed to take action against ¡°unjustified tariffs¡±. Canada is said to be preparing new measures to prevent a potential flood of steel imports from global producers seeking to avoid U.S. tariffs.Futures on the S&P 500 sank 0.8 percent while contracts on the Dow Jones Industrial Average Index tumbled 0.9 percent and Nasdaq futures were down 1.2 percent. U.S. Trade Representative Robert Lighthizer said that ¡°duties that have been announced on U.S. exports are completely without justification under international rules.¡±President Donald Trump signaled he may take a less confrontational path toward curbing Chinese investments in sensitive American technologies, potentially relying on a U.S. committee that scrutinizes foreign acquisitions for national security risks. China¡¯s Ministry of Commerce said that it is paying close attention to developments and will evaluate the potential impact on Chinese companies, while Canada plans a combination of quotas and tariffs aimed at certain countries including China, following similar ¡°safeguard¡± measures being considered by the European Union.In Europe, stocks reversed early gains, driven lower in part by the auto sector hitting its lowest level since September 2017 amid worries over trade tensions. Banks also fell as bond yields further slipped, with the U.S. 10-year yield hitting a one-week low of 2.85 percent."
"In Retailer Bankruptcies, Private Equity Comes Under Fire","Don¡¯t try to shortchange Jay Wintrob or Mark Brodsky in bankruptcy court when your retail buyout goes bust.Wintrob¡¯s Oaktree Capital Group and Brodsky¡¯s Aurelius Capital Management are kicking back at private equity owners in separate Chapter 11 cases, as investors lose patience for tactics that buyout firms use to reduce their own risks.Oaktree is contesting Apollo Global Management LLC¡¯s role in restructuring Claire¡¯s Stores Inc., while Aurelius is zeroed in on plans by Sycamore Partners to turn around Nine West Holdings Inc. Both funds claim the sponsors deprived other creditors of fair recoveries, either by extracting assets before the cases reached court or through their reorganization strategies afterward. While objections from junior creditors are common, and often resolved quickly, Oaktree and Aurelius both know their way around the courtroom, and have abundant resources to press their cases.¡°Creditors have become more sensitive to private equity sponsors using loopholes to take value away from them,¡± said Anthony P. Canale, global head of research at the independent firm Covenant Review. He cited coercive debt exchanges that give cooperative creditors a higher priority than holdouts, and strategies that move valuable intellectual property out of lenders¡¯ reach.Moody&apos;s Covenant Quality Indicator, which tracks risks tied to credit terms, has been on the rise. A higher number indicates increasing laxity.SOURCE: Moody&apos;s
Figure for 2018 is as of April, all others year-end.Even as they willingly lend to faltering companies, investors often grumble about debt-funded dividends for the sponsors, carve-out transactions and unwelcome bond exchanges. Those tactics aren¡¯t new; some have been around for decades, and buyout firms say they¡¯re justified by the high risk they assume when trying to turn around retailers that might otherwise die.But Oaktree has said in court that Apollo went too far by using its ¡°unfettered control¡± of Claire¡¯s to its own advantage. The group led by Aurelius contends in filings that Sycamore reserved the best parts of Nine West for itself. Representatives for Apollo, Claire¡¯s, Oaktree and Sycamore declined to comment. Aurelius didn¡¯t respond to messages.¡°Over the past year, we have seen a handful of bond deals introduce, or try to introduce, a new avenue that companies could use to make uncapped intellectual property transfers to unrestricted subsidiaries,¡± Moody¡¯s Investors Service analysts wrote in a May report. In some recent cases, lenders have pushed to close the loopholes before the debt deals are final, the analysts said.Debtholders are still smarting over J. Crew Group¡¯s 2017 asset shuffle, which shunted the company¡¯s brand and other valuable holdings to a subsidiary that lenders couldn¡¯t touch. That maneuver is a model for what lenders don¡¯t want to happen to them. Creditors of PetSmart Inc. and Revlon Inc. have worried they may be next, and ratings firms have warned that more companies have credit agreements that leave debtholders vulnerable.At Tops Friendly Markets, lower-ranking creditors of the bankrupt grocery chain, ranging from bankers to bakers, want to investigate the 2007 buyout, saying the private equity owners extracted more than $380 million in dividends, fees and other payments while adding debt.While J. Crew is the retail debtor most closely identified with spiriting away intellectual property, Claire¡¯s actually did it first. The tween jewelry chain staged a 2016 debt overhaul that sent trademark rights to a European subsidiary, insulating the brands¡¯ value from from creditors.Claire¡¯s, which is based in Pembroke Pines, Florida, then filed for Chapter 11 bankruptcy in March this year. Under the proposed restructuring deal, Apollo and the lenders get ownership of the reorganized Claire¡¯s and the chance to provide exit loans. The financing would require total payments of more than $1.5 billion to Apollo and allies in exchange for $575 million to finance a Claire¡¯s turnaround, the fund said.Oaktree derided Apollo¡¯s initial exit financing plan as the ¡°laughingstock of the distressed investing community,¡± saying in court papers it unduly treats senior lenders including Apollo and Elliott Capital Management better than lower-ranking creditors.Oaktree, which is run by Wintrob and whose founders include Howard Marks and Bruce Karsh, holds more than 70 percent of Claire¡¯s $220 million second-lien debt, according to court documents. Apollo holds an undisclosed amount of Claire¡¯s senior debt, which allows it to benefit from the proposed reorganization. Its allies, including Elliott and Monarch Alternative Capital, are the biggest senior lenders, with more than $970 million of the $1.4 billion in first-lien notes.Aurelius is leading a group of unsecured creditors that allege similar flaws in Nine West¡¯s April bankruptcy, which they contend is rooted in how Sycamore managed the 2014 leveraged buyout of the shoe and fashion company. Sycamore issued debt through the company to take it private, but then bought three of the subsidiaries for Sycamore¡¯s direct ownership -- at what the group¡¯s lawyers say was a below-market rate.Weekly Credit Brief: Private Equity Under Fire in Retail RestructuringSycamore sold two of the brands in 2015 and dealt the third back to Nine West in 2017, ¡°reaping hundreds of millions of dollars of benefit,¡± a lawyer for the Aurelius group said in a May 7 hearing. On top of that, the group claims a proposed $50 million bankruptcy loan is ¡°exorbitantly expensive.¡±Aurelius holds about $164 million of Nine West¡¯s unsecured notes, a relatively small slice of Nine West¡¯s $1.6 billion in debt. But Aurelius¡¯s Brodsky has a reputation for being litigious, and his group includes sizable allies including mall operator Simon Property Group. The next hearing for Nine West is June 18; Claire¡¯s is scheduled for June 13.Such disputes would be less likely if lenders pushed back harder on lax covenants allowing asset transfers, according to debt research firm Xtract Research.¡°Deals should be negotiated to prevent these types of material transfers so that lenders don¡¯t have to sit at the edge of their seats waiting to see whether a borrower will take advantage,¡± said Jenny Warshafsky, an Xtract covenant analyst.¡ª With assistance by Tiffany Kary"
